[2021-07-09 18:12:48,157] INFO [feature-zk-node-event-process-thread]: Shutdown completed (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2021-07-09 18:12:48,157] INFO [feature-zk-node-event-process-thread]: Stopped (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2021-07-09 18:12:48,161] INFO [ZooKeeperClient Kafka server] Closing. (kafka.zookeeper.ZooKeeperClient)
[2021-07-09 18:12:48,247] INFO channel is told closing (org.apache.zookeeper.ClientCnxnSocketNetty)
[2021-07-09 18:12:48,249] INFO channel is disconnected: [id: 0xedfdeba0, L:/127.0.0.1:45966 ! R:localhost/127.0.0.1:2182] (org.apache.zookeeper.ClientCnxnSocketNetty)
[2021-07-09 18:12:48,250] INFO channel is told closing (org.apache.zookeeper.ClientCnxnSocketNetty)
[2021-07-09 18:12:48,250] INFO Session: 0x10002ade3af0000 closed (org.apache.zookeeper.ZooKeeper)
[2021-07-09 18:12:48,250] INFO EventThread shut down for session: 0x10002ade3af0000 (org.apache.zookeeper.ClientCnxn)
[2021-07-09 18:12:48,251] INFO [ZooKeeperClient Kafka server] Closed. (kafka.zookeeper.ZooKeeperClient)
[2021-07-09 18:12:48,253] INFO [ThrottledChannelReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:48,699] INFO [ThrottledChannelReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:48,699] INFO [ThrottledChannelReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:48,700] INFO [ThrottledChannelReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:49,700] INFO [ThrottledChannelReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:49,700] INFO [ThrottledChannelReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:49,700] INFO [ThrottledChannelReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:50,700] INFO [ThrottledChannelReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:50,700] INFO [ThrottledChannelReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:50,700] INFO [ThrottledChannelReaper-ControllerMutation]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:51,700] INFO [ThrottledChannelReaper-ControllerMutation]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:51,700] INFO [ThrottledChannelReaper-ControllerMutation]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-07-09 18:12:51,705] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Shutting down socket server (kafka.network.SocketServer)
[2021-07-09 18:12:51,747] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Shutdown completed (kafka.network.SocketServer)
[2021-07-09 18:12:51,747] INFO Metrics scheduler closed (org.apache.kafka.common.metrics.Metrics)
[2021-07-09 18:12:51,747] INFO Closing reporter org.apache.kafka.common.metrics.JmxReporter (org.apache.kafka.common.metrics.Metrics)
[2021-07-09 18:12:51,748] INFO Metrics reporters closed (org.apache.kafka.common.metrics.Metrics)
[2021-07-09 18:12:51,749] INFO Broker and topic stats closed (kafka.server.BrokerTopicStats)
[2021-07-09 18:12:51,749] INFO App info kafka.server for 0 unregistered (org.apache.kafka.common.utils.AppInfoParser)
[2021-07-09 18:12:51,750] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
